Name,Ubicación,Unidades,Players,Age
DIXIT 2 QUEST,J1,2,3--6,8+
DIXIT 3 JOURNEY,J1,2,3--6,8+
DIXIT 4 ORIGINS,J1,1,3--6,8+
DIXIT 5 DAYDREAMS,J1,2,3--6,8+
DIXIT 6 MEMORIES,J1,1,3--6,8+
DIXIT 7 REVELATIONS,J1,1,3--6,8+
DIXIT ODYSSEY,EPR,1,3--12,8+
DOBBLE,Q4,1,2--8,6+
DOBBLE FORMAS Y NÚMEROS,EPP,1,2--6,3+
DOBBLE KIDS,Q4,1,2--8,6+
DOBBLE STARWARS,Q4,1,2--8,6+
"DOGFIGHT, I GUERRA MUNDIAL",Q3,1,2,8+
DOGGY BAG,N5,1,2--6,8+
DOLORES,Q2,1,2--4,10+
DOMADORES DE BICHOS,R2,1,3--6,8+
DOMINION,M1,2,2--4,13+
DOMINION: COMARCAS,M1,1,2--4,8+
DOMINION: CORNUCOPIA,N1,1,2--4,8+
DOMINION: EDAD OSCURA,M1,1,2--4,8+
DOMINION: INTRIGA,N1,1,2--4,8+
DOMINO,CLASICOS 4,1,1+,6+
DORY MEMO,x9,1,1+,4+
DRAGONES Y GALLINAS,N5,2,2--5,8+
DRAGONS,R7,1,2--4,8+
DRAKO,L4,1,2,8+
DRIPDROP,V9,1,2--4,3+
DUELO GAME,EPP,1,2--5,8+
DUNGEON RAIDERS,R8,1,3--5,8+
DUNGEON ROLL,Q7,1,1--4,8+
DUPLIK,Q6,1,3--10,12+
EL CODIGO DA VINCI,I1,1,2--6,12+
EL CRISTAL OSCURO,C0,1,2--4,6+
EL CUCO ESTRENA NIDO,W7,2,2--5,4+
EL DESIERTO PROHIBIDO: LA CIUDAD BAJO LAS DUNAS,K2,2,2--5,10+
EL ESPÍA (QUE SE PERDIÓ),M2,2,3--8,12+
EL FAVOR DEL FARAON,C3,1,2--4,13+
EL GRAN LIBRO DE LA LOCURA,I2,1,2--5,12+
EL GRANDE (GL),A4,1,2--5,12+
EL HOBBIT,R3,1,2--5,10+
EL HOMBRE LOBO - EDICION DEFINITIVA,Q3,1,5--68,8+
EL HOMBRE LOBO - EDICION DEFINITIVA ARTEFACTOS,Q3,1,5--40,13+
EL JUEGO DE LAS RANAS,U6,1,2--4,4+
